LAB_LOINC,RAW_LAB_NAME,n
82182-7,E.COLI DNA CSF,372
6955-9,B HENSELAE IGM,79
21654-9,CF RESULT,119
76078-5,"INFLUENZA A, NAA",69
9571-1,"PARVOVIRUS B19, PCR",101
33772-5,PL 7 AUTOABS,32
48310-7,Influenza A,7
3377-9,Barbiturates,249
7993-9,Rhinovirus,34
32577-9,B. QUINTANA IGG SCREEN,3
40419-4,AMPHETAMINE,5266
15570-5,CLASS,8
15529-1,CLASS,6
15607-5,Class,295
40610-8,BETA 2 TRANSFERRIN,31
13952-7,HEPATITIS B CORE TOTAL,7119
10900-9,Hepatitis B Surface Ab Qual,1225
82183-5,H.INFLUENZA DNA CSF,372
,HLA-DQ2 (DQA1*05/DQB1*02),143
5255-5,MYCOPLAMSA PCR,54
16074-7,Class,87
21305-8,URINE GLUCOSE,66852
19270-8,Barbiturates,83
5005-4,"EBV DNA, QL PCR",10
16131-5,HSV-2 DNA,123
13951-9,HEPATITIS A AB TOTAL,1229
31104-3,0.85% NACL,2
8117-4,% CD19 (B CELLS),356
3508-9,Codeine,58
40979-7,Human Metapneumovirus,30
6874-2,"CALCIUM, 24 HOUR URINE",90
33516-6,IMMATURE RETIC FRACTION,10504
23826-1,B. PERTUSSIS DNA,11
81641-3,HIV 2 AB,19
30361-0,"HIV 2 ANTIBODY, EIA",10
12187-1,CK-MB,43
48309-9,"BK Virus DNA Qaunt PCR, SERUM/PLASMA",897
11545-1,Acid Fast Smear,5
6024-4,Aspergillus Flavus Antibodies,1
20574-0,Histoplasma Yeast CF Ab,1
14249-7,"YO AB SCREEN, IFA, SERUM",117
29893-5,HIV-1 Antibody,10
15577-0,CLASS,6
13984-0,"Alpha 1, Urine",232
19270-8,"Barbiturates Screen, Urine",34
82161-1,Coronavirus HKU1,1
92141-1,FLUBV RNA Resp Ql NAA+probe,31
15551-5,CLASS,1
15554-9,CLASS,2
15832-9,CLASS,2
15618-2,CLASS,1
41514-1,Logcopies/mL,292
31186-0,IGM,5
42606-4,HSV 2 IGM SCREEN CSF,4
,SARS-COV-2 (COVID-19) ORF GENE,68
13969-1,CK MB RELATIVE INDEX,11933
6818-9,"Micropolyspora faeni, IgG",2
6818-9,MICROPOLYSPORA FAENI,4
16130-7,HSV 1 DNA,31
6412-1,Giardia Antigen,302
42481-2,HPV DNA Low Risk,47
11071-8,Butalbital,46
25125-6,PHENYLLACTATE/CREATININE,8
3390-2,Benzodiazepines,50
3755-6,Meprobamate,54
,NTQR Ultrasonographer ID#,963
19261-7,Amphetamine Screen,3621
7555-6,Aspergillus flavus,1
75694-0,"HPV GENOTYPE 18, 45",43
76089-2,RSV PCR RESULT,7507
33771-7,PL 12 AUTOABS,31
20463-6,M. AVIUM DNA,3
43228-6,SCREEN,6
60256-5,"Neisseria gonorrhoeae, NAA",345
69563-5,"Candida glabrata, NAA",429
4576-5,Hgb F,543
15661-2,CLASS,1
15734-7,CLASS,1
15784-2,CLASS,1
15633-1,CLASS,1
29904-0,Toxoplasma gondii DNA,2
24113-3,HEPATITIS B CORE IGM,4317
69935-5,"SURESWAB(R), MYCOPLASMA GENITALIUM, PCR",15
15572-1,CLASS,1
75664-3,HPV 16,14
,NDM GENE,24
9588-5,LYME 18 KD IGG,79
3377-9,BARBITURATES,3431
,SARS-COV-2 (COVID-19) N2 GENE,75
13956-8,RIFAMPIN RESISTANCE RESULT,1
13956-8,M TUBERCULOSIS PCR,744
,"Amphiphysin Ab, CSF",12
15956-6,PORK ANTIBODY IGE RAST CLASS,1
45324-1,Ethyl Glucuronide (ETG),5
32576-1,B. HENSELAE IGM SCREEN,5
51723-5,Fungal Culture W/Rfx,3
33000-1,RMSF IGM,3
69668-2,HIV 1 ANTIBODY,440
69668-2,HIV 2 ANTIBODY,440
41268-4,VWF GENE P THR71MET,1
43180-9,"HSV2 IGG INHIBITION,ELISA",22
6318-0,"LYME AB IGG , CSF",12
14308-1,AMPHETAMINES$(1000 ng/mL SCREEN),1
11597-2,TREPONEMAL ABD TEST,7139
11483-5,"VARICELLA ZOSTER VIRUS$(VZV) DNA, QL RT PCR",5
3780-4,Methamphetamine,51
24446-7,"PORPHOBILIOGEN, QN",6
13954-3,HEPATITIS BE ANTIGEN,104
3637-6,Fentanyl,54
35393-8,HANTAVIRUS IGM,1
94500-6,"SARS-COV-2 (COVID-19), NUCLEIC ACID AMPLIFICATION PCR SWAB",95797
15869-1,CLASS,1
82196-7,CAMPYLOBACTER COLI+JEJUNI+upsaliensis DNA,9
50728-5,"UFH LOW DOSE, 0.1 IU/ML",1
15811-3,CLASS,1
15736-2,CLASS,1
79383-6,SALMONELLA SPECIES,9
5274-6,PARVO (B19) IGM,64
15978-0,CLASS,1
3349-8,Amphetamine,2
19328-4,Alphahydroxyalprazolam,51
46725-8,"T. WHIPPLEI DNA, QL PCR",2
35492-8,MRSA DNA RESULT,14535
11556-8,PO2,99926
15388-2,Mycoplasma hominis,1
47000-5,CANDIDA:,987
8116-6,ABSOLUTE CD19+ CELLS,245
59264-2,"HPV Genotype, 18",23
40419-4,Amphetamine,3
15746-1,CLASS,1
25126-4,PHENYLPYRUVATE/CREATININE,8
19695-6,Secobarbital,46
3393-6,Cocaine Metabolite,28
3926-3,Pentobarbital,46
25124-9,PHENYLACETATE/CREATININE,8
11230-0,Amobarbital,46
3773-9,Methadone,220
25088-6,4-HYDROXYPHENYLACETATE/CREATININE,8
19648-5,Oxymorphone,52
92900-0,4P16 DELETION WORLF HIRSCHHORN,284
714-6,% LYMPHOCYTES,70650
3415-7,Buprenorphine,26
3887-7,Oxazepam,51
92902-6,8Q24 DELETION (LANGER-GIEDION),284
3936-2,Phencyclidine,76
,TIME COLLECTED,72717
25113-2,MALATE/CREATININE,8
82177-7,Mycoplasma pneumoniae,1
744-3,% MONOCYTES,68994
75602-3,FETAL 1P36 DELETION RISK,284
3393-6,COCAINE,30
29507-1,ALPHA KETOGLUTARATE/CREATININE,8
3879-4,Opiates,103
82212-2,Rotavirus A RNA,5
15372-6,Nordiazepam,51
707-0,Basophils Manual,1379
19346-6,Amphetamine,53
733-6,% ATYPICAL LYMPHS,14477
12382-8,Temazepam,51
10998-3,Oxycodone,28
3394-4,COCAINE METABOLITE,27
3773-9,METHADONE,3465
20507-0,RPR SCREEN,12505
25116-5,METHYLMALONATE/CREATININE,136
3426-4,MARIJUANA,24
58714-7,Oxidant,29
82176-9,RESPIRATORY SYNCYTIAL VIRUS RNA,8467
51006-5,DIRECT COOMBS,662
82161-1,CORONAVIRUS HKU1 PCR,13562
13990-7,"Alpha-1-Globulin, U",94
31628-1,"SM/RNP, AB, SERUM",321
6568-0,Trichomonas vaginosis,77
40988-8,RSV RNA XXX Ql NAA+probe,18
64084-7,QUANTIFERON TB1 AG VALUE,529
6457-6,"DNA Ab (DS) Crithidia, IFA",407
8009-3,B QUINTANA IGG,79
38382-8,Influenza B,7
34487-9,Influenza A,34
70155-7,BARBITURATES,6940
,SARS-COV-2 (COVID-19) E GENE,43
7719-8,Staphylococcus aureus,31
82184-3,L.MONOCYTOGENES DNA CSF,372
41283-3,HLA-DQ8$(DQA1*03/DQB1*0302),143
3681-4,Hydrocodone,58
5863-6,Influenza A,6
29723-4,B. PARAPERTUSSIS DNA,13
,% CD 4 Pos. Lymph.,564
43201-3,BKV DNA Spec NAA+probe-Log,3
50941-4,Acid Fast Culture,5
22086-3,Aspergillus Niger Antibodies,1
6816-3,Histoplasma Mycelial ID Ab.,1
43187-4,"RI AB SCREEN, IFA, SERUM",122
7287-6,"Alpha 2, Urine",232
14316-4,"Benzodiazepines Screen, Urine",34
48558-1,HIV 1 GENOTYPE,8
82162-9,Coronavirus NL63,1
94500-6,,421
48505-2,GPIIB/IIIA (CELL 1),2
31185-2,IGA,5
6821-3,"Thermoactinomyces vulgaris, IgG",2
6733-0,PIGEON SERUM,4
14316-4,Benzodiazepines,3676
46216-8,MITOGEN-NIL,1676
53596-3,ALCA,5
16131-5,HSV 2 DNA,29
47696-0,MALONATE/CREATININE,8
11075-9,Norfentanyl,53
10894-4,Aspergillus niger,1
5025-2,M. INTRACELLULARE DNA,3
5372-8,Anti-striation Abs,6
1925-7,BASE EXCESS,50473
75695-7,HPV 18,14
85503-1,OXA-48 GENE,24
9589-3,LYME 23 KD IGG,79
3390-2,BENZODIAZEPINES,3627
90827-7,"Anti-Glial Nuclear Ab, Type 1",12
792-2,RED BLOOD CELL COUNT,11
60676-4,Ethyl Sulfate (ETS),5
30075-6,RSV A,10
53926-2,"Chlamydia trachomatis, NAA",345
8122-4,ABSOLUTE CD3,1223
41210-6,VWF GENE P ARG816TRP,1
21081-5,CANAVAN DISEASE,1
18485-3,MI 2 AUTOABS,17
13953-5,HEPATITIS BE ANTIBODY,103
21262-1,SHIGA TOXIN,141
82197-5,CLOSTRIDIOIDES DIFFICILE TOXIN A+B tcdA+tcdB GENES,5
46455-2,SHIGELLA SPECIES,9
58470-6,"WBC, CSF",2
11557-6,PCO2,100011
9318-7,MICROALB/CREAT RATIO,9600
62460-1,C PARAPSILOSIS/TROPICALIS,2
8147-1,Amphetamine,1
5048-4,ANA Screen IFA,1619
60677-2,Alphahydroxytriazolam,51
29515-4,3-HYDROXYPROPIONATE/CREATININE,8
5645-7,ETHANOL,2511
3349-8,Amphetamines,28
3831-5,Morphine,58
25114-0,2-METHYLCITRATE/CREATININE,8
9835-0,Hydromorphone,58
29519-6,4-HYDROXYPHENYLPYRUVATE/CREATININE,8
10976-9,6 Acetylmorphine,13
25089-4,4-HYDROXYPHENYLLACTATE/CREATININE,8
3936-2,PCP (PHENCYCLIDINE),18
50542-0,METHADONE METABOLITE,27
79178-0,4-HYDROXYCYCLOHEXYLACETATE/CREATININ,8
19141-1,PROPOXYPHENE,1226
82181-9,CRYPTOCOCCUS NEOFORMANS GATII DNA CSF,372
33037-3,ANION GAP,591076
5769-5,Bacteria,29503
75578-5,FETAL 22Q11.2 DELETION RISK (DIGEORGE),284
82179-3,BORDETELLA PERTUSSIS PCR,13563
26498-6,% MYELOCYTES,15449
14245-5,Antiphosphatidylserine IgG,29
43304-5,"Chlamydia trachomatis RNA, TMA",12733
9587-7,LYME 41 KD IGM,79
25082-9,2-METHYL-3-HYDROXYBUTYRATE/CREATININE,8
79211-9,FETAL CHROMOSOME X/Y ANEUPLOIDY RISK,840
13503-8,Lyme IgM Wb,22
751-8,Neutrophils Absolute,63814
82205-6,CRYPTOSPORIDIUM SP DNA,197
770-8,% NEUTROPHILS,433453
30376-8,% BLASTS,5450
68549-5,Anti-U2 RNP Ab (RDL),14
82173-6,PARAINFLUENZA 3,13563
54067-4,C difficile Toxin Gene NAA,33
21613-5,CHLAMYDIA DNA,10489
10362-2,Endomysial Ab IgA,402
70141-7,BENZODIAZEPINES,5109
18282-4,CANNABINOIDS,5956
14314-9,"Cocaine (Metab.) Screen, Urine",5473
19295-5,Opiates,5037
43304-5,"Chlamydia trachomatis, NAA",3604
74661-0,PHOSPHATIDYLETHANOL (PETH),509
21709-1,4 H FOLATE MUTATION,50
13876-8,"BETA 2 TRANSFERRIN, BODY FLUID",2
5645-7,Ethanol,4050
14310-7,PHENCYCLIDINE,3968
70149-0,METHADONE,3982
2118-8,PREGNANCY TEST,6904
47383-5,ANA SCREEN,2534
17780-8,"HELICOBACTER PYLORI ANTIGEN, STOOL",547
43304-5,"C. trachomatis RNA,TMA, Urogenital",5
46154-1,"SURESWAB(R) TRICHOMONAS VAGINALIS RNA, QL TMA",1382
16935-9,HEPATITIS B SURF AB,5605
5036-9,"STREPTOCOCCUS, GROUP A, DNA PROBE",343
13950-1,HEPATITIS A IGM AB,4109
94507-1,"SARS-COV-2 AB IGG, SERUM/PLASMA",4450
11470-2,CLOSTRIDIUM DIFFICILE ANTI TOXIN INTERPRETATION,2043
17850-9,"HSV 1 IGG, AB, SERUM",387
30339-6,EBV IGG,414
5130-0,ANTI-DNA(DS) ABDY,732
31418-7,HETEROPHILE,401
56888-1,HIV ANTIGEN ANTIBODY COMBO,23848
29903-2,"CRYPTOCOCCAL ANTIGEN, SERUM",180
34468-9,"C difficile Toxins A+B, EIA",124
6568-0,TRICHOMONAS:,1002
40466-5,HSV 1 IGM SCREEN SERUM,191
17780-8,H. pylori stool Ag,161
8034-1,STRONGYLOIDES IGG AB,702
45323-3,"QUANTIFERON(R)-TB GOLD PLUS, 1 TUBE",1581
13955-0,"INTERPRETATION, HCV AB",3479
46183-0,"COCCIDIOIDES AB,IGM",45
15410-4,VARICELLA IGG,541
54067-4,"CLOSTRIDIUM DIFFICILE$TOXINB,QL REAL TIME PCR",127
60489-2,STREPTOCOCCUS GROUP A DNA NAAT,1354
29891-9,H PYLORI RESULT:,362
24312-1,T pallidum Antibodies (TP-PA),141
2335-8,FECAL OCCULT BLOOD,1417
24027-5,"S. PNEUMONIAE ANTIGENS, URINE",732
41499-5,"LEGIONELLA PNEUMOPHILA ANTIGEN, URINE",695
24115-8,EBV IGM,303
17351-8,ANCA SCREEN,112
57287-5,"Chlamydia trachomatis, NAA",46
57288-3,"C. trachomatis, NAA, Pharyn",96
2112-1,PREGNANCY TEST,58
5117-7,"CRYOGLOBULIN, QL",271
47000-5,Candida Species,77
5213-4,"Mononucleosis Test, Qual",17
26043-0,HLA B27,217
17284-1,MITOCHONDRIAL ANTIBODY (AMA),672
87620-1,"CANDIDA AURIS PCR, FLUID/SWAB",62
41480-5,"BK VIRUS DNA, QN REAL TIME PCR, URINE",61
2110-5,"hCG,Beta Subunit,Qual,Serum",37
6864-3,SICKLE CELL PREP,868
5393-4,T pallidum Ab (FTA-Ab),237
21667-1,MUTATION ANALYSIS,63
24475-6,FACTOR 2 MUTATION,370
50191-6,GASTRIC OCCULT BLOOD,17
29896-8,"CRYPTOCOCCAL ANTIGEN, CSF",26
9537-2,INTRINSIC FACTOR AB,26
3251-6,FIBRIN SPLIT PRODUCTS (FDP),434
19080-1,"HCG, Total",94
6954-2,B HENSELAE IGG,79
4537-7,SEDIMENTATION RATE,19064
29770-5,CF Plus,259
44525-4,HISTOPLASMA GAL'MANNAN AG SERUM,6
33295-7,"JC POLYOMA VIRUS DNA, QL, CSF",46
46970-0,"BK VIRUS DNA, QUALITATIVE, CSF",36
13317-3,MRSA Culture Only,13
5213-4,"Heterophile, Mono Screen",50
55095-4,Adenovirus,9
43172-6,T3 (TRIIODOTHYRONINE)$ANTIBODY,1
26043-0,HLA-B27,221
39528-5,Adenovirus,44
49413-8,"JC POLYOMA VIRUS DNA, QN, SERUM/PLASMA",42
62460-1,"C. ALBICANS, DNA",1283
32575-3,B. HENSELAE IGG SCREEN,5
91545-4,MYELIN OLIGODENDROCYTE GLYCOPROTEIN AB,32
91543-9,"MYELIN OLIGODENDROCYTE GLYCOPROTEIN AB CBA, CSF RESULT",2
,"AQUAPORIN 4 AB, CBA, SERUM RESULT",19
90818-6,"AQUAPORIN 4 AB, CBA, CSF RESULT",3
62947-7,MPL EXON 10 MUTATION,12
77174-1,CALR MUTATION (EXON 9),11
49738-8,"HU AB SCREEN, IFA, SERUM",117
29771-3,FECAL OCCULT BLOOD,192
13931-1,STRIATED MUSCLE AB$W/REFL TO TITER,52
94564-2,"SARS-COV-2 AB QUAL, IGM, SERUM",326
94563-4,"SARS-COV-2 AB IGG, SERUM/PLASMA",665
10362-2,ENDOMYSIAL ANTIBODY SCR$(IGA) W/REFL TO TITER,41
1832-5,AFP Amniotic Fluid,5
30167-1,HPV DNA High Risk,593
80824-6,ZIKA VIRUS AB (IGM),6
94564-2,"SARS-COV-2 AB IGM, SERUM/PLASMA",53
49411-2,"JC VIRUS DNA, QUANT, URINE",11
10365-5,"COTININE, SERUM/PLASMA",14
5265-4,ISLET CELL ANTIBODY$SCREEN,10
13514-5,HGB ELECTROPH INTERPRETATION,589
29901-6,HTLV 1 AND 2,49
22759-5,ANTI-PLATELET AB,16
30073-1,VGCC Antibody,8
50398-7,CLINICAL INTERPRETATION,6
897-9,ELUTION,84
16130-7,HSV-1 DNA,121
547-0,Strep A Culture,129
5859-4,HSV Culture Without Typing,39
22330-5,"HEPATITIS D ANTIBODY, TOTAL",18
38476-8,"ANTI-MULLERIAN HORMONE (AMH),FEMALE",124
8116-6,ABSOLUTE CD19,203
4546-8,HGB A,1077
46131-9,"CYTOTOXIN ASSAY, STOOL",19
14232-3,ADRENAL AB,9
43180-9,HSV-2 IgG Supplemental Test,18
13927-9,Antipancreatic Islet Cells,1
5834-7,Adenovirus,6
47982-4,"Epstein-Barr DNA Quant, PCR",9
68961-2,HIV 1 AB,19
34701-3,HEPARIN INDUCED PLATELET$ANTIBODY,3
25835-0,HIV 1 RNA QUALITATIVE,9
13927-9,ISLET CELL ANTIBODY,23
6808-0,A.Fumigatus #1 Abs,3
20573-2,Histoplasma Mycelial CF Ab.,1
5117-7,"CRYOGLOBULIN SCR W/REFL$CRYOGLOBULIN PROFILE, S",43
5151-6,E. HISTOLYTICA AB,14
,"SARS-COV-2 (COVID-19) AB IGG, SPIKE, SEMI-QUAL, SERUM",908
23800-6,"MOLD MIX 1, IGE",1
19261-7,"Amphetamine Screen, Urine",34
,"SARS-COV-2 (COVID-19), NAA",45
92142-9,FLUAV RNA Resp Ql NAA+probe,40
41513-3,HIV1 Copies/mL,305
42587-6,"BKV DNA, Quant PCR, Plasma",12
24375-8,OVERALL RESULT,1
6927-8,IGG,5
,HSV 1 IGM SCREEN CSF,4
11246-6,OXYCODONE,460
28067-7,"FETAL HEMOGLOBIN,$AMNIOTIC FLUID",2
30106-9,ACETYLCHOLINESTERASE,2
23821-2,ASPERGILLUS FUMIGATUS,4
1007-4,DAT,18
13928-7,PTH ANTIBODY,4
30167-1,HPV DNA HIGH RISK,4
59646-0,Cotinine,10
22362-8,"HTLV-I/II Antibodies, Qual",3
739-3,% METAMYELOCYTES,19051
14246-3,Antiphosphatidylserine IgM,29
736-9,% LYMPHOCYTES,410169
5905-5,% MONOCYTES,426187
92903-4,FETAL CHROMOSOME REGION 15Q11 DELETION,284
82178-5,CHLAMYDOPHILA PNEUMONIAE,13563
3725-9,Lorazepam,51
3936-2,PHENCYCLIDINE,6217
742-7,Monocytes Absolute,63811
49963-2,Anti-U3 RNP (Fibrillarin)(RDL),16
82174-4,PARAINFLUENZA 4,13563
14314-9,COCAINE,3656
19295-5,OPIATES,3893
19073-6,CANNABINOIDS,3611
22327-1,HEPATITIS C ANTIBODY,10223
19550-3,"Methadone Screen, Urine",2721
45323-3,QUANTIFERON(R)-TB GOLD,146
7909-5,"HSV 1,2  IGG",39
,TRICHOMONAS KIT,478
,Mitochondrial Ab,119
23821-2,"Aspergillus fumigatus, IgG",1
7903-8,HELICOBACTER PYLORI ANTIBODY,12
25835-0,HIV-1 RNA Qualitative,12
59263-4,HPV GENOTYPE 16,43
8061-4,ANACHOICE(R) SCREEN,62
2514-8,Urine Ketones,6832
21347-0,LINE IMMUNOASSAY (LIA),4
5255-5,MYCOPLASMA IGG,24
30167-1,"HPV, high-risk",673
21759-6,FRAGILE X PCR,8
22238-0,Cysticercosis (Taenia solium),1
69562-7,"Candida albicans, NAA",429
12853-8,"YO AB, WESTERN BLOT, SERUM",25
33008-4,"RI AB, WESTERN BLOT",25
60026-2,LEUKOCYTES,66852
34586-8,"JC VIRUS DNA, QUAL, TISSUE",1
47251-4,"BK VIRUS DNA, QUAL, TISSUE",1
32286-7,HCV Genotype,501
3349-8,AMPHETAMINES,2395
94562-6,"SARS-COV-2 AB IGA, SERUM/PLASMA",13
35134-6,TSH ANTIBODY,3
24110-9,"T. PALLIDUM AB, EIA",1
33600-8,HU AB SCREEN,18
5880-0,Rotavirus Antigen,7
883-9,BLOOD TYPING ABO,2600
35492-8,MRSA by NAA,1
69048-7,"Paraneoplastic Interpretation, CSF",2
13951-9,"HEPATITIS A AB, TOTAL$W/REFL IGM",36
4644-1,URINE HEMOSIDERIN,4
2349-9,Glucose,19052
38356-2,T4 (THYROXINE) ANTIBODY,3
5825-5,"ADENOVIRUS AG, EIA",1
23811-3,AFP MATERNAL SCREEN,17
49117-5,"NOROVIRUS, EIA (STOOL)",1
32999-5,RMSF IGG,4
6457-6,"DNA AB (DS) CRITHIDIA,IFA",62
5052-6,ASPERGILLUS ANTIBODY$SCREEN,2
5005-4,Epstein-Barr Virus Real Time,3
19289-8,Cannabinoid,4
11483-5,VZV Real Time PCR,4
18484-6,KU AUTOABS,17
45149-2,EJ AUTOABS,31
45152-6,OJ AUTOABS,31
33921-8,SRP AUTOABS,31
29497-5,ANTI-IGG,6
777-3,PLATELET COUNT,727385
49434-4,Parvovirus B19 Quant PCR,72
21613-5,"CHLAMYDIA TRACHOMATIS,TMA$(ALTERNATE TARGET)",1
18481-2,RESULT:,3
32361-8,WNV PCR RESULT,4
13955-0,HEPATITIS C ANTIBODY$(REFL),51
1708-7,"ACHE, Amn",1
9522-4,ENTAMOEBA HISTOLYTICA IGG$ELISA,1
31023-5,"MAG AB (IGM),WESTERN BLOT",3
17781-6,21 HYDROXYLASE ANTIBODY,5
94563-4,"REFLEX RESULT SARS-COV-2 AB IGG, SERUM/PLASMA",168
18483-8,Vaginal Yeast Culture,2
10975-1,"6-Acetylmorphine, Urine",1
49580-4,HIV ANTIBODY SCREEN,2671
35392-0,HANTAVIRUS IGG,1
57768-4,"CAMPYLOBACTER SP. AG, EIA",20
42358-2,Result,1
18282-4,Cannabinoid,261
50733-5,UFH SRA RESULT,1
5218-3,"HISTOPLASMA ANTIBODY, ID",1
5058-3,"BLASTOMYCES ANTIBODY, ID",1
27391-2,Candida Antibodies IgM,1
3393-6,Cocaine (Metab.),281
22296-8,Mono Qual W/Rflx Qn,3
42254-3,ANTI-NUCLEAR AB BY IFA (RDL),2
14273-7,RETICULIN IGA SCREEN,2
42181-8,"MYOCARDIAL AB, IF",1
79382-8,CAMPYLOBACTER GROUP,9
32667-8,"LYME DISEASE (BORRELIA$SPP) DNA, QL, BLOOD",2
5646-5,ETHYLENE GLYCOL,25
9780-8,SPERM CONCENTRATION,3
7918-6,"HIV 1,2",2
11004-9,TRICYCLICS,3
94505-5,"SARS-CoV-2 IGG (VIRACOR), SERUM/PLASMA",26
57320-4,"TRYPANOSOMA CRUZI ANTIBODY, IGG",1
17781-6,21-HYDROXYLASE ANTIBODIES,1
17852-5,Ureaplasma urealyticum,1
43638-6,"AQUAPORIN 4 AB (IGG), CBA IFA",1
44938-9,"HEPATITIS D VIRUS (HDV)$IGM ANTIBODY, EIA",1
59263-4,"HPV Genotype, 16",23
94563-4,"REFLEX RESULT SARS-COV-2 AB IGG, SERUM/PLASMA (EUROIMMUN)",33
5043-5,Adrenal Total AutoAb,1
5876-8,"RSV Ag, EIA",1
82991-1,"PHOSPHOLIPASE A2 RECEPTOR (PLA2R) AB, IFA",1
5096-3,Coccidioides CF Antibody,1
5274-6,PARVOVIRUS B19 ANTIBODY (IGM),17
92899-4,FETAL CHROMOSOME REGION 11Q23 DELETION (JACOBSEN),284
10834-0,GLOBULIN,463440
82177-7,MYCOPLASMA PNEUMONIAE,13562
1759-0,ALB/GLOB RATIO,256396
19141-1,Propoxyphene,217
82208-0,GIARDIA LAMBLIA DNA,197
25136-3,SUCCINATE/CREATININE,8
11246-6,Oxycodone,52
25101-7,FUMARATE/CREATININE,8
82209-8,ADENOVIRUS 40+41 DNA,5
3774-7,Methadone,45
3937-0,Phencyclidine,47
50542-0,EDDP,69
5770-3,"Bilirubin, UA",19051
5802-4,Nitrite,7181
20454-5,Protein,19053
82190-0,HSV1 DNA CSF,371
50388-8,"Neisseria gonorrhoeae, NAA",229
50387-0,"Chlamydia, Nuc. Acid Amp",415
20407-3,Nitrite,11871
19429-0,Propoxyphene Urine,34
50387-0,"Chlamydia trachomatis, NAA",230
50388-8,"Gonococcus, Nuc. Acid Amp",144
46154-1,Trich vag by NAA,551
9596-8,LYME 66 KD IGG,79
53327-3,BILIRUBIN,67202
82171-0,PARAINFLUENZA 1,13563
35651-9,"SYNOVIOCYTES, %",30
82191-8,HSV2 DNA CSF,372
15783-4,CLASS,3
90843-4,Purkinje Cell Cytoplasmic Ab Type 2,12
29504-8,2-HYDROXYISOVALERATE/CREATININE,8
3282-1,Hex Phosph Neut Test,32
3786-1,Methaqualone,21
3786-1,METHAQUALONE,1252
9834-3,Hydromorphone,1
80348-6,ESCHERICHIA COLI ENTEROPATHOGENIC EAE GENE,5
15782-6,CLASS,8
34658-5,MUCOLIPIDOSIS TYPE IV,1
82168-6,Influenza A/H1-2009,1
2613-8,MET HEMOGLOBIN,27051
5799-2,"WBC Esterase, UA",11871
3746-5,"Meperidine Screen, Urine",22
75570-2,FETAL MONOSOMY X RISK (TURNER SYNDROME),280
82172-8,PARAINFLUENZA 2,13563
82192-6,HHV6 DNA CSF,372
3746-5,Meperidine,197
14267-9,MDMA,1
9597-6,LYME 93 KD IGG,79
25083-7,"2-OXO,3-METHYLVALERATE/CREATININE",8
13502-0,Lyme IgG Wb,22
16252-9,Hydrocodone GC/MS Conf,1
3821-6,MIDAZOLAM,3
80351-0,ESCHERICHIA COLI ENTEROTOXIGENIC ltA+st1a+st1b GENES,5
3415-7,"Buprenorphine, Urine",7
21680-4,GLYCOGEN STORAGE DISEASE,1
82169-4,Influenza A/H3,1
82193-4,PARECHOVIRUS RNA CSF,372
16130-7,HSV 1 NAA,2
82203-1,ESCHERICHIA COLI STX1+STX2 TOXIN STX1+STX2 GENES,5
33359-1,MSUD MUTATION (JEWISH),1
18484-6,Anti-Ku Ab (RDL),14
3394-4,Benzoylecgonine,48
19710-3,"Tramadol Screen, Urine",22
82188-4,VARICELLA ZOSTER DNA CSF,372
9598-4,LYME 23 KD IGM,79
25085-2,2-OXOISOVALERATE/CREATININE,8
16131-5,HSV 2 NAA,2
80350-2,SHIGELLA SPECIES+EIEC INVASION PLASMID ANTIGENH (ipaH) GENE,5
9599-2,LYME 39 KD IGM,79
29523-8,2-ETHYL-3-HYDROXYPROPIONATE/CREATININE,8
24435-0,2-METHYLBUTYRYLGLYCINE/CREATININE,8
75980-3,FETAL CHROMOSOME 13+18+21+X+Y ANEUPLOIDY,347
82162-9,CORONAVIRUS NL63 PCR,13562
13987-3,"Alpha-2-Globulin, U",100
64084-7,TB1-NIL,1539
88517-8,QUANTIFERON TB2 AG VALUE,529
8010-1,B QUINTANA IGM,79
55097-0,Parainfluenza 1,7
77026-3,INFLUENZA A SUBTYPE H1,24
32578-7,B. QUINTANA IGM SCREEN,3
43399-5,JAK2 V617F,12
82185-0,N.MENINGITIS DNA CSF,372
5867-7,Influenza B,6
18416-8,Aspergillus nidulans,1
17815-2,"Beta, Urine",229
18282-4,"Cannabinoid Screen, Urine",34
82163-7,Coronavirus 229E,1
11584-0,A. Pullulans Abs,2
21560-8,T. CANDIDUS,6
24440-0,ISOVALERYLGLYCINE/CREATININE,8
64084-7,TB-NIL,137
4625-0,HGB S,1810
85501-5,VIM GENE,24
9590-1,LYME 28 KD IGG,79
29509-7,BETA HYDROXYBUTYRATE/CREATININE,8
93777-1,HPV HIGH RISK,1
44768-0,"Anti-Neuronal Nuclear Ab, Type 1",12
13984-0,"Alpha-1-Globulin, U",6
806-0,WHITE BLOOD CELL COUNT,11
30076-4,RSV B,10
19370-6,BUTABARBITAL,3
41209-8,VWF GENE P ARG854GLN,1
21729-9,GAUCHER DISEASE,1
64091-2,Cells Karyotyped,16
792-2,"RBC, CSF",2
50727-7,"UFH HIGH DOSE, 100 IU/ML",1
79384-4,VIBRIO GROUP,9
3779-6,Methamphetamine,2
11558-4,PH,100053
16080-4,CLASS,8
29514-7,3-HYDROXYISOVALERATE/CREATININ,8
29516-2,3-HYDROXYVALERATE/CREATININE,8
38360-4,ISOBUTYRYLGLYCINE/CREATININE,8
24443-4,SUBERYLGLYCINE,8
